"cell_id","step_ix","simulation_i","sim_time"
"cell329",1677,10,10
"cell330",3506,20,100.083333333332
"cell331",1592,9,980.000000000166
"cell332",1400,8,880.000000000121
"cell333",1312,8,0
"cell334",3209,18,770.000000000071
"cell335",2708,15,1220.00000000001
"cell336",320,2,1000.00000000018
"cell337",1750,10,740.000000000057
"cell338",2715,15,1290.08333333328
"cell339",4107,23,650.000000000016
"cell340",2483,14,790.00000000008
"cell341",766,5,0
"cell342",1025,6,770.000000000071
"cell343",4304,24,800.000000000084
"cell344",1091,6,1430.08333333315
"cell345",1211,7,810.000000000089
"cell346",2245,13,230.000000000009
"cell347",4170,23,1280.08333333329
"cell348",990,6,420.083333333308
"cell349",2251,13,290.000000000004
"cell350",3088,17,1380.0833333332
"cell351",148,1,1100.00000000012
"cell352",3089,17,1390.08333333319
"cell353",4308,24,840.000000000103
"cell354",3859,22,0
"cell355",2103,12,630.000000000007
"cell356",3146,18,140.083333333332
"cell357",1398,8,860.000000000112
"cell358",3982,22,1220.00000000001
"cell359",38,1,0
"cell360",2268,13,460.083333333299
"cell361",2084,12,440.083333333303
"cell362",2884,16,1160.00000000006
"cell363",1373,8,610.083333333331
"cell364",2446,14,420.083333333308
"cell365",219,2,0
"cell366",787,5,210.000000000006
"cell367",3860,22,0
"cell368",2337,13,1150.00000000007
"cell369",2802,16,340.083333333326
"cell370",1132,7,20.0833333333333
"cell371",1035,6,870.000000000116
"cell372",981,6,330.083333333328
"cell373",1313,8,10
"cell374",3546,20,500.083333333289
"cell375",861,5,950.000000000153
"cell376",314,2,940.000000000148
"cell377",1150,7,200.000000000005
"cell378",1622,9,1280.08333333329
"cell379",766,5,0
"cell380",4186,23,1440
"cell381",1169,7,390.083333333314
"cell382",2353,13,1310.08333333326
"cell383",3223,18,910.000000000134
"cell384",666,4,820.000000000093
"cell385",3409,19,950.000000000153
"cell386",258,2,380.083333333317
"cell387",793,5,270.000000000008
"cell388",584,4,0
"cell389",1168,7,380.083333333317
"cell390",2443,14,390.083333333314
"cell391",3993,22,1330.08333333324
"cell392",232,2,120.083333333331
"cell393",3773,21,950.000000000153
"cell394",2221,13,0
"cell395",675,4,910.000000000134
"cell396",2039,12,0
"cell397",3597,20,1010.00000000018
"cell398",2589,15,30.0833333333332
"cell399",4065,23,230.000000000009
"cell400",2961,17,110.083333333331
"cell401",3342,19,280.000000000006
"cell402",3273,18,1410.08333333317
"cell403",37,1,0
"cell404",3335,19,210.000000000006
"cell405",3560,20,640.000000000012
"cell406",1888,11,300.000000000002
"cell407",2061,12,210.000000000006
"cell408",1991,11,1330.08333333324
"cell409",2801,16,330.083333333328
"cell410",2331,13,1090.00000000013
"cell411",2354,13,1320.08333333325
"cell412",4241,24,170.000000000002
"cell413",1409,8,970.000000000162
"cell414",3757,21,790.00000000008
"cell415",1533,9,390.083333333314
"cell416",151,1,1130.00000000009
"cell417",3340,19,260.000000000011
"cell418",489,3,870.000000000116
"cell419",2537,14,1330.08333333324
"cell420",4132,23,900.00000000013
"cell421",3634,20,1380.0833333332
"cell422",1235,7,1050.00000000016
"cell423",320,2,1000.00000000018
"cell424",402,3,0
"cell425",3698,21,200.000000000005
"cell426",1405,8,930.000000000143
"cell427",821,5,550.083333333304
"cell428",2052,12,120.083333333331
"cell429",3549,20,530.083333333295
"cell430",3346,19,320.08333333333
"cell431",1056,6,1080.00000000014
"cell432",2643,15,570.083333333313
"cell433",48,1,100.083333333332
"cell434",872,5,1060.00000000015
"cell435",3822,21,1440
"cell436",2098,12,580.083333333318
"cell437",2642,15,560.083333333309
"cell438",3406,19,920.000000000139
"cell439",2260,13,380.083333333317
"cell440",1245,7,1150.00000000007
"cell441",3718,21,400.083333333312
"cell442",2039,12,0
"cell443",4100,23,580.083333333318
"cell444",1045,6,970.000000000162
"cell445",3395,19,810.000000000089
"cell446",3503,20,70.0000000000004
"cell447",2856,16,880.000000000121
"cell448",997,6,490.083333333292
"cell449",151,1,1130.00000000009
"cell450",1499,9,50.0000000000003
"cell451",1501,9,70.0000000000004
"cell452",998,6,500.083333333289
"cell453",1023,6,750.000000000062
"cell454",1437,8,1250.08333333331
"cell455",1531,9,370.083333333319
"cell456",4223,24,0
"cell457",901,5,1350.08333333322
"cell458",1390,8,780.000000000075
"cell459",1374,8,620.000000000003
"cell460",1770,10,940.000000000148
"cell461",2648,15,620.000000000003
"cell462",1768,10,920.000000000139
"cell463",2327,13,1050.00000000016
"cell464",1375,8,630.000000000007
"cell465",1866,11,80.0833333333331
"cell466",4244,24,200.000000000005
"cell467",1189,7,590.083333333322
"cell468",3077,17,1270.0833333333
"cell469",3591,20,950.000000000153
"cell470",1706,10,300.000000000002
"cell471",2076,12,360.083333333321
"cell472",1430,8,1180.00000000004
"cell473",3633,20,1370.0833333332
"cell474",2366,13,1440
"cell475",96,1,580.083333333318
"cell476",2068,12,280.000000000006
"cell477",1013,6,650.000000000016
"cell478",1528,9,340.083333333326
"cell479",4116,23,740.000000000057
"cell480",4000,22,1400.08333333318
"cell481",3789,21,1110.00000000011
"cell482",3553,20,570.083333333313
"cell483",583,4,0
"cell484",827,5,610.083333333331
"cell485",348,2,1280.08333333329
"cell486",3590,20,940.000000000148
"cell487",1959,11,1010.00000000018
"cell488",3968,22,1080.00000000014
"cell489",2679,15,930.000000000143
"cell490",2989,17,390.083333333314
"cell491",2818,16,500.083333333289
"cell492",3728,21,500.083333333289
"cell493",2810,16,420.083333333308
"cell494",3679,21,10
"cell495",3939,22,790.00000000008
"cell496",2697,15,1110.00000000011
"cell497",2706,15,1200.00000000003
"cell498",626,4,420.083333333308
"cell499",2909,16,1410.08333333317
"cell500",3771,21,930.000000000143
